date,vendor_id,vendor_name,amount,currency,payment_method,bank_name,gst_number,pan_number,payment_purpose,receiving_bank,receiving_account,country
2025-03-01,VENDOR_001,Vendor ABC Ltd,50000,INR,NEFT,HDFC,18AABCT1234H1Z0,ABCTY1234K,Raw Materials,ICICI,9876543210,IN
2025-03-02,VENDOR_002,Shivam steels,125000,INR,RTGS,ICICI,27AACCS7788K1ZP,AACCS7788K,Steel Purchase,HDFC,4433221100,IN
2025-03-03,VENDOR_003,Techno Plastics Ltd,78000,INR,IMPS,Axis,19AACCT9090B1ZQ,AACCT9090B,Plastic Components,Kotak,1122334455,IN
2025-03-04,VENDOR_004,Global Traders Pvt Ltd,34500,INR,NEFT,Kotak,06AABCG5656L1ZV,AABCG5656L,Packaging Supplies,Axis,5566778899,IN
2025-03-05,VENDOR_005,Om Logistics,25000,INR,UPI,HDFC,29AAACO8899A1ZK,AAACO8899A,Transportation,ICICI,6655443322,IN
2025-03-06,VENDOR_006,Sunrise Chemicals,98000,INR,RTGS,ICICI,07AABCS1234L1Z1,AABCS1234L,Chemical Solvents,HDFC,9988776655,IN
2025-03-07,VENDOR_007,Universal Machines,245000,INR,RTGS,Axis,22AABCU3456Q1ZR,AABCU3456Q,Machine Parts,Kotak,5566441122,IN
2025-03-08,VENDOR_008,Green Leaf Papers,18000,INR,NEFT,Kotak,32AACCG7788H1Z0,AACCG7788H,Office Supplies,ICICI,2211445566,IN
2025-03-09,VENDOR_009,Mahaveer Textiles,92000,INR,NEFT,HDFC,29AABCM3456J1ZP,AABCM3456J,Fabric Supply,Axis,7788223344,IN
2025-03-10,VENDOR_010,Kumar Electric Works,45000,INR,IMPS,ICICI,21AACCE1111B1Z0,AACCE1111B,Electrical Repair,HDFC,9990001112,IN
2025-03-11,VENDOR_011,Metro Packaging,38000,INR,UPI,Axis,24AABCM2222A1Z7,AABCM2222A,Packaging,Kotak,4411223344,IN
2025-03-12,VENDOR_012,Digital Print Hub,12000,INR,NEFT,Kotak,09AACCD3333D1ZZ,AACCD3333D,Printing,HDFC,1122112211,IN
2025-03-13,VENDOR_013,Oceanic Exports,150000,INR,RTGS,ICICI,19AABCT4444F1Z2,AABCT4444F,Export Materials,Axis,2233445566,IN
2025-03-14,VENDOR_014,Mighty Tools,67000,INR,IMPS,HDFC,08AABCT5555G1Z1,AABCT5555G,Heavy Tools,ICICI,2233556644,IN
2025-03-15,VENDOR_015,Blue Star Catering,24000,INR,UPI,Axis,07AABCT6666K1Z1,AABCT6666K,Catering Services,Kotak,6655884433,IN
2025-03-16,VENDOR_016,Royal Spare Parts,86000,INR,NEFT,Kotak,30AACCM7777H1ZQ,AACCM7777H,Spare Parts,HDFC,3344556677,IN
2025-03-17,VENDOR_017,Clean & Shine Pvt Ltd,15000,INR,UPI,ICICI,10AAACC8888Q1Z3,AAACC8888Q,Cleaning Services,Axis,1122554477,IN
2025-03-18,VENDOR_018,Pure Water Systems,33000,INR,NEFT,HDFC,02AACCP9999B1ZA,AACCP9999B,Water Filtration,Kotak,5533221144,IN
2025-03-19,VENDOR_019,Metro Stationery,9800,INR,UPI,Axis,22AABCS4321C1Z5,AABCS4321C,Stationery,ICICI,8899665544,IN
2025-03-20,VENDOR_020,Blue Horizon Textiles,114000,INR,RTGS,ICICI,29AABCZ8765H1Z1,AABCZ8765H,Bulk Fabric,HDFC,6677889900,IN
